name,role,condition,day,roi_x0,roi_y0,roi_x1,roi_y1,lab_L,lab_a,lab_b,s_mean,yellowness_idx,delta_e
14day_70RH_PMMA_HFS2.png,query,PMMA HfS2-70%RH,14,161,95,279,196,83.5133,-2.0000,5.0000,8.7283,27.4425,7.0423
15day_70RH_Al2O3HFS2.png,query,Al2O3HfS2-70%RH,15,123,125,218,251,74.6438,-2.4211,16.4211,31.8657,44.0329,11.9069
15day_70RH_NativeHFS2.png,query,NativeHfS2-70%RH,15,16,133,157,259,82.0968,-0.7573,3.0171,4.1495,25.3812,31.0818
16day_70RH_Al2O3HFS2.png,query,Al2O3HfS2-70%RH,16,31,100,173,248,73.3982,-4.1563,21.4438,43.1782,50.2912,7.1441
1day_70RH_Al2O3HFS2.png,query,Al2O3HfS2-70%RH,1,32,83,181,211,76.8675,-3.9694,18.9983,36.1061,45.9816,8.9516
1day_70RH_NativeHFS2.png,query,NativeHfS2-70%RH,1,106,134,233,228,74.2354,-4.0940,20.1596,39.8826,47.9696,13.7410
20day_70RH_NativeHFS2.png,query,NativeHfS2-70%RH,20,34,94,158,233,81.8791,-0.0001,2.0000,3.0000,24.7088,32.1797
21day_70RH_Al2O3HFS2.png,query,Al2O3HfS2-70%RH,21,65,49,243,237,74.7217,-2.3010,15.7343,30.6498,43.3041,12.5845
21day_70RH_NativeHFS2.png,query,NativeHfS2-70%RH,21,84,113,179,239,82.7976,0.0000,2.0000,3.0001,24.6779,32.3128
22day_70RH_Al2O3HFS2.png,query,Al2O3HfS2-70%RH,22,97,83,238,217,74.0186,-2.8309,16.7787,33.1679,44.5134,11.5773
28day_35RH_NativeHFS2.jpg,reference_library,NativeHfS2-35%RH,28,74,185,346,335,81.7318,-1.7116,5.6889,9.7928,28.5434,9.1157
28day_35RH_NativeHFS2.png,query,NativeHfS2-35%RH,28,110,106,243,204,86.1631,-1.3972,5.5626,8.5483,28.0341,9.6393
28day_70RH_Al2O3HFS2.jpg,reference_library,Al2O3HfS2-70%RH,28,162,325,595,632,78.5557,-5.8524,26.5025,50.1196,53.5357,2.5180
28day_70RH_NativeHFS2.jpg,reference_library,NativeHfS2-70%RH,28,66,240,387,432,83.9630,-1.0010,3.0000,4.0021,24.6098,19.6509
28day_70RH_PMMA_HFS2.jpg,reference_library,PMMA HfS2-70%RH,28,79,253,491,524,84.1558,-1.1231,3.1807,4.3614,24.6404,5.6260
28day_70RH_PMMA_HFS2.png,query,PMMA HfS2-70%RH,28,57,152,184,276,84.1374,-1.9098,3.1156,5.0612,25.0073,8.9191
29day_70RH_NativeHFS2.png,query,NativeHfS2-70%RH,29,94,119,236,232,84.0782,-0.9857,2.9496,3.9517,24.6434,31.4526
2day_70RH_Al2O3HFS2.png,query,Al2O3HfS2-70%RH,2,127,95,243,198,78.5823,-5.2879,26.5022,50.3391,53.9445,2.5787
2day_70RH_NativeHFS2.png,query,NativeHfS2-70%RH,2,51,140,169,269,75.7024,-4.0108,17.8975,34.5427,44.7234,15.6803
30day_70RH_Al2O3HFS2.png,query,Al2O3HfS2-70%RH,30,116,112,230,217,78.6550,-5.8093,25.9670,49.6473,53.2694,2.9745
3day_35RH_NativeHFS2.jpg,reference_library,NativeHfS2-35%RH,3,77,195,364,353,82.6338,-2.4242,10.9127,18.4426,34.5728,4.0531
3day_35RH_NativeHFS2.png,query,NativeHfS2-35%RH,3,154,109,256,215,82.4976,-2.5054,11.3171,19.9109,35.5855,2.8197
3day_70RH_Al2O3HFS2.jpg,reference_library,Al2O3HfS2-70%RH,3,175,356,644,693,76.0606,-5.8275,27.2924,54.3806,56.1399,0.6229
3day_70RH_Al2O3HFS2.png,query,Al2O3HfS2-70%RH,3,43,90,176,232,76.1119,-5.6791,27.3312,53.4275,55.7784,0.6285
3day_70RH_NativeHFS2.jpg,reference_library,NativeHfS2-70%RH,3,60,181,355,327,81.2781,-5.1037,21.7930,38.8378,46.9560,2.1554
3day_70RH_PMMA_HFS2.jpg,reference_library,PMMA HfS2-70%RH,3,57,196,359,406,84.9252,-1.7176,6.7154,10.7094,29.5500,2.1491
3day_70RH_PMMA_HFS2.png,query,PMMA HfS2-70%RH,3,141,99,260,205,85.0009,-1.7333,6.4672,11.1225,29.7778,7.1937
4day_70RH_NativeHFS2.png,query,NativeHfS2-70%RH,4,48,126,210,271,76.0770,-2.3997,12.0368,22.4383,37.5604,21.6547
5day_70RH_Al2O3HFS2.png,query,Al2O3HfS2-70%RH,5,48,99,181,226,76.1733,-5.7306,27.3716,53.3591,55.7344,0.6016
6day_70RH_NativeHFS2.png,query,NativeHfS2-70%RH,6,167,115,289,213,80.4102,-2.0649,9.6788,16.7477,33.6044,24.1336
7day_35RH_NativeHFS2.jpg,reference_library,NativeHfS2-35%RH,7,76,191,357,347,81.6762,-1.0995,8.9346,15.6542,33.7068,6.0971
7day_35RH_NativeHFS2.png,query,NativeHfS2-35%RH,7,162,123,278,226,81.5833,-1.5242,9.3084,16.0828,33.9212,4.9259
7day_70RH_Al2O3HFS2.jpg,reference_library,Al2O3HfS2-70%RH,7,168,326,617,634,76.7188,-4.7950,20.7264,39.5562,47.4634,7.1747
7day_70RH_Al2O3HFS2.png,query,Al2O3HfS2-70%RH,7,31,91,169,207,82.4334,-4.8583,23.6313,42.4796,49.6619,7.3903
7day_70RH_NativeHFS2.jpg,reference_library,NativeHfS2-70%RH,7,63,199,374,359,84.8727,-2.0113,9.5642,15.4823,32.8428,13.4124
7day_70RH_PMMA_HFS2.jpg,reference_library,PMMA HfS2-70%RH,7,58,206,362,427,83.7255,-2.0805,5.9182,9.1269,27.9256,3.5667
7day_70RH_PMMA_HFS2.png,query,PMMA HfS2-70%RH,7,88,95,211,241,83.7028,-2.0002,5.7755,8.9778,27.9247,6.6014
